Li,0.006668488662158167
Be,0.022706229632109554
Al,0.00014977910033810718
Ca,0.00013306625099232647
Sc,0.04309990263800311
V,0.0002977680285996546
Cr,0.005931181114791475
Mn,0.0003689122670287359
Fe,0.0011950875373607233
Co,0.0024159431299870227
Ni,0.014767594681459256
Cu,0.1140446844972446
Zn,0.5016861924418311
Ga,0.012629641251842832
Ge,29.62482528189796
As,3.2021185680462745e-06
Se,0.0008274461115842307
Sr,0.00016998719869230604
Y,0.0031488965914245907
Zr,0.0011598879360979425
Nb,0.02742602966529492
Mo,2.650881977936939
Ru,0.07597438141833274
Rh,0.004060754007433362
Pd,0.13131112460137903
Ag,37.94548100339658
Cd,0.00029156394373940173
In,17.51072695844711
Sn,0.2855025389101324
Sb,4.3079279729934665
Te,0.0004587656745966836
Ba,4.9096815220780644e-05
La,0.004806928141435312
Ce,0.004107177314922869
Pr,0.0027579161228045
Nd,0.0030118693626698632
Sm,0.0008976664995984023
Gd,0.001135586191801312
Tb,0.00018132173878865885
Dy,0.0008942645567154052
Ho,0.00023723197836978294
Er,0.0010904458310220862
Tm,8.455536044311541e-05
Yb,0.0004264588264894212
Lu,6.216609928958975e-05
Hf,0.008472269247516137
Ta,0.015284329357499918
W,3.2021185686684045e-06
Re,281.4431730348161
Os,0.16494736760708117
Ir,0.052465037956695555
Pt,0.013481605160112773
Au,2293.0780337420656
Tl,3.202118562444997e-06
Pb,0.48258752979757824
Bi,2.8261084052360284
Th,0.011249660086427917
